Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Is Training
30000,-0.18491982,3.979777,0.15371533,0.029556895,0.00029840638,0.19946876,0.004973492,999.0,-2.851666588258619,-2.851666588258619,0.0,0.0,0.0,0.0,1.0
40000,-0.179483,3.9763117,0.043245204,0.023311872,0.00029762398,0.19920795,0.0049604783,None,None,None,1.0,3.0,0.5,3.0,1.0
50000,-0.19339405,3.972163,0.037872855,0.022182783,0.00029683678,0.19894558,0.004947385,999.0,-2.0958332790760323,-2.0958332790760323,0.0,0.0,0.0,0.0,1.0
60000,-0.21207687,3.9691777,0.049709994,0.026503596,0.0002960544,0.19868478,0.0049343714,None,None,None,4.0,5.0,3.0,0.0,1.0
70000,-0.22738114,3.9635105,0.04539768,0.024247795,0.00029526727,0.1984224,0.0049212775,None,None,None,5.0,10.0,4.0,2.0,1.0
80000,-0.24900897,3.9618526,0.01886577,0.018573513,0.00029448484,0.1981616,0.0049082637,999.0,-3.6779166082075485,-3.6779166082075485,1.5,0.0,0.0,0.5,1.0
90000,-0.26088223,3.9561956,0.03847506,0.025388278,0.00029369758,0.19789921,0.0048951698,None,None,None,4.0,0.0,1.0,3.0,1.0
100000,-0.27928522,3.9496596,0.02917681,0.028014136,0.00029289126,0.1976304,0.0048817564,999.0,-3.8099999484062814,-3.8099999484062814,0.0,0.0,0.0,0.0,1.0
110000,-0.2806228,3.9427412,0.028561128,0.023036886,0.00029210877,0.1973696,0.0048687435,None,None,None,0.0,1.0,1.0,4.0,1.0
120000,-0.2769897,3.9357104,0.029973596,0.022778314,0.00029132157,0.19710723,0.0048556486,999.0,-2.38913037514557,-2.38913037514557,0.0,1.5,1.0,2.0,1.0
130000,-0.250579,3.9334052,0.04117837,0.026203308,0.0002905392,0.19684643,0.004842636,None,-0.5899999849498272,-0.5899999849498272,0.0,4.0,2.0,2.0,1.0
140000,-0.22761548,3.9310114,0.016029697,0.02418994,0.00028975203,0.19658405,0.0048295413,None,None,None,0.0,4.0,3.0,4.0,1.0
150000,-0.21730332,3.9216871,0.023118263,0.029736595,0.00028896966,0.19632323,0.004816528,999.0,-1.3333332777256146,-1.3333332777256146,0.0,0.0,0.0,0.0,1.0
160000,-0.21308209,3.921826,0.026381437,0.020095197,0.00028818246,0.19606079,0.004803434,None,None,None,1.5,1.0,0.0,1.0,1.0
170000,-0.22486289,3.915642,0.01639108,0.023504255,0.00028741203,0.19580403,0.0047906195,999.0,-2.0783332925833142,-2.0783332925833142,0.0,0.0,0.0,0.0,1.0
180000,-0.22056232,3.8979306,0.02622983,0.023361335,0.0002866128,0.1955376,0.0047773262,None,None,None,1.0,3.0,0.0,0.0,1.0
190000,-0.18700248,3.8861263,0.028685393,0.026651315,0.00028580643,0.19526878,0.004763914,None,None,None,1.0,3.0,2.0,2.0,1.0
200000,-0.17526232,3.8658855,0.02038153,0.01759796,0.00028502397,0.19500796,0.0047508986,999.0,-1.172499938479935,-1.172499938479935,1.0,0.0,1.5,0.5,1.0
210000,-0.15035716,3.8584886,None,None,None,None,None,None,None,None,2.0,0.0,5.0,2.0,1.0
220000,-0.1299993,3.8669796,0.016414927,0.025780559,0.00028423683,0.19474559,0.0047378065,999.0,-0.5293749320553616,-0.5293749320553616,0.0,0.0,0.0,0.0,1.0
230000,-0.10421768,3.8552303,0.014940179,0.028795563,0.00028345446,0.19448477,0.004724791,None,None,None,1.0,1.0,2.0,2.0,1.0
240000,-0.075162284,3.845356,0.019448297,0.021550111,0.00028266723,0.19422242,0.004711698,999.0,0.10913049935808648,0.10913049935808648,2.0,0.5,1.0,2.5,1.0
250000,-0.11652775,3.8186998,0.016698783,0.027547197,0.00028188486,0.1939616,0.0046986835,None,3.05000027269125,3.05000027269125,1.0,0.0,0.0,1.0,1.0
260000,-0.09001108,3.8336122,0.017931867,0.023806099,0.00028109766,0.19369923,0.0046855905,None,None,None,1.0,1.0,2.0,2.0,1.0
270000,-0.082803585,3.8336887,0.016942581,0.023424795,0.00028029122,0.1934304,0.0046721757,999.0,0.12125005549751222,0.12125005549751222,0.0,0.0,0.0,0.0,1.0
280000,-0.08466572,3.827463,0.01785085,0.025522169,0.00027950882,0.1931696,0.0046591624,None,None,None,0.5,0.5,1.5,2.0,1.0
290000,-0.07852153,3.8150134,0.014752613,0.026115801,0.00027872162,0.19290724,0.004646069,999.0,-0.8885416122308621,-0.8885416122308621,0.0,0.0,0.0,0.0,1.0
300000,-0.050903022,3.8079996,0.031680744,0.02274286,0.00027793922,0.19264644,0.004633055,None,None,None,2.0,1.0,2.0,1.0,1.0
310000,-0.041430052,3.816285,0.017816165,0.029080668,0.000277152,0.19238396,0.0046199616,None,None,None,3.0,3.0,3.0,2.0,1.0
320000,-0.07708461,3.789831,0.009405645,0.02300639,0.00027636962,0.19212325,0.0046069473,999.0,0.18479174515232444,0.18479174515232444,2.0,0.0,0.0,1.0,1.0
330000,-0.08068191,3.783872,0.013232171,0.017052572,0.00027558242,0.19186077,0.004593854,None,None,None,4.0,0.0,0.0,4.0,1.0
340000,-0.07181349,3.7686727,0.014418002,0.02762552,0.000274812,0.19160403,0.0045810393,999.0,-1.0518749454058707,-1.0518749454058707,0.0,0.0,0.0,0.0,1.0
350000,-0.04636658,3.7883887,0.019533323,0.024787167,0.00027401283,0.1913376,0.004567745,None,None,None,1.0,2.0,1.0,2.0,1.0
360000,-0.023990368,3.8037593,0.019292818,0.020433653,0.0002732064,0.19106878,0.0045543327,999.0,0.7328261679605298,0.7328261679605298,0.5,1.5,1.0,2.5,1.0
370000,-0.03620947,3.7805226,0.013020936,0.032356594,0.00027242402,0.19080797,0.00454132,None,1.6900000218302011,1.6900000218302011,1.0,3.0,3.0,0.0,1.0
380000,-0.029413074,3.8069215,0.019318692,0.02788178,0.00027163685,0.19054559,0.0045282254,None,None,None,2.0,6.0,10.0,1.0,1.0
390000,0.0062795235,3.7904277,0.02482398,0.02380275,0.0002708544,0.19028479,0.004515211,999.0,0.4695834517478943,0.4695834517478943,0.0,0.0,0.0,0.0,1.0
400000,0.05227238,3.803486,0.01995895,0.023282569,0.0002700672,0.19002242,0.0045021176,None,None,None,1.5,3.0,1.5,2.5,1.0
410000,0.05610804,3.7758057,0.01610673,0.022258645,0.00026928485,0.18976161,0.004489104,999.0,1.0341667487518862,1.0341667487518862,1.0,0.0,0.0,0.0,1.0
420000,0.049417693,3.7818077,None,None,None,None,None,None,None,None,4.0,1.0,2.0,1.0,1.0
430000,0.063376,3.7788677,0.015154458,0.021247633,0.0002684976,0.18949923,0.00447601,None,None,None,4.0,1.0,4.0,1.0,1.0
440000,0.05162187,3.7616968,0.012721715,0.031072248,0.00026769115,0.18923041,0.0044625974,999.0,0.6058333981006095,0.6058333981006095,2.0,0.5,0.5,2.0,1.0
450000,0.07776981,3.7542872,0.022974633,0.030757891,0.00026690878,0.18896961,0.0044495827,None,None,None,3.0,4.0,2.0,5.0,1.0
460000,0.08952563,3.7302358,0.023318555,0.017892983,0.00026612164,0.18870722,0.00443649,999.0,1.6089584376119699,1.6089584376119699,0.0,0.0,1.0,0.0,1.0
470000,0.123552606,3.7613165,0.037516113,0.022207476,0.00026533927,0.18844643,0.0044234754,None,None,None,2.0,3.0,2.0,5.0,1.0
480000,0.14237651,3.7539523,0.030321276,0.029712198,0.000264552,0.18818395,0.004410381,999.0,2.8056522705794675,2.8056522705794675,2.5,2.0,1.0,3.0,1.0
490000,0.14716808,3.717933,0.025751567,0.027624888,0.00026376962,0.18792324,0.0043973676,None,-0.30499993450939655,-0.30499993450939655,1.0,2.0,2.0,2.0,1.0
500000,0.1608963,3.7063258,0.025614303,0.02419686,0.00026298236,0.18766078,0.004384274,None,None,None,1.0,3.0,3.0,3.0,1.0
510000,0.17285907,3.6767998,0.027741032,0.021669928,0.00026221204,0.18740402,0.004371459,999.0,2.5406250804274655,2.5406250804274655,0.0,0.0,0.0,0.0,1.0
520000,0.19406047,3.6765041,0.03696438,0.019530138,0.00026141285,0.1871376,0.004358166,None,None,None,3.5,4.5,1.5,1.5,1.0
530000,0.24843836,3.6160123,0.038487747,0.030000389,0.0002606064,0.18686877,0.004344753,999.0,5.115625126753002,5.115625126753002,0.0,0.0,0.0,0.0,1.0
540000,0.2870228,3.6241448,0.052707314,0.020569984,0.00025982404,0.18660797,0.0043317387,None,None,None,4.0,4.0,2.0,3.0,1.0
550000,0.3466116,3.580499,0.04786153,0.023646623,0.0002590368,0.1863456,0.004318645,None,None,None,6.0,6.0,4.0,6.0,1.0
560000,0.37822315,3.5484433,0.041772857,0.019168368,0.0002582544,0.18608479,0.0043056314,999.0,7.063541836842584,7.063541836842584,0.0,1.0,2.0,2.0,1.0
570000,0.36974648,3.5213103,0.037104946,0.018976685,0.00025746727,0.18582243,0.0042925384,None,None,None,1.0,7.0,6.0,6.0,1.0
580000,0.37478343,3.4726737,0.0380522,0.027689977,0.00025668475,0.18556161,0.0042795236,999.0,4.203541779968266,4.203541779968266,0.0,0.0,0.0,0.0,1.0
590000,0.40521318,3.4409769,0.031530313,0.021876534,0.0002558976,0.18529923,0.004266431,None,None,None,3.0,0.0,2.0,1.0,1.0
600000,0.4013843,3.4614184,0.02684973,0.028930116,0.0002550912,0.18503042,0.0042530163,999.0,3.1736957658406184,3.1736957658406184,1.5,1.0,1.5,1.0,1.0
610000,0.35290843,3.4219532,0.04890274,0.025619816,0.00025430883,0.1847696,0.004240004,None,-0.4300000071525574,-0.4300000071525574,0.0,2.0,4.0,3.0,1.0
620000,0.38980326,3.422621,0.04284926,0.025859272,0.0002535217,0.18450724,0.004226909,None,None,None,2.0,3.0,7.0,4.0,1.0
630000,0.44672295,3.3451452,None,None,None,None,None,999.0,5.0789584373512,5.0789584373512,0.0,0.0,0.0,0.0,1.0
640000,0.49435908,3.3296084,0.05020747,0.02566688,0.00025273918,0.1842464,0.0042138943,None,None,None,4.0,5.0,1.0,5.5,1.0
650000,0.45462468,3.2770033,0.0371211,0.025417574,0.00025195203,0.18398397,0.0042008017,999.0,5.686250132935432,5.686250132935432,0.0,0.0,0.0,0.0,1.0
660000,0.4611925,3.260223,0.05863109,0.02042824,0.00025116967,0.18372326,0.004187787,None,None,None,5.0,4.0,3.0,1.0,1.0
670000,0.5220203,3.2464137,0.061371196,0.017190762,0.0002503824,0.18346077,0.004174694,None,None,None,8.0,6.0,5.0,1.0,1.0
680000,0.5500202,3.2400753,0.056332406,0.02569558,0.00024961206,0.18320403,0.0041618794,999.0,10.188958477345295,10.188958477345295,1.5,1.5,2.0,3.0,1.0
690000,0.54060125,3.2177866,0.04527179,0.025452517,0.00024881275,0.18293759,0.0041485867,None,None,None,6.0,5.0,4.0,6.0,1.0
700000,0.5261685,3.1995587,0.03589999,0.021460546,0.00024800646,0.18266878,0.0041351737,999.0,3.8570834666800997,3.8570834666800997,0.0,0.0,0.0,0.0,1.0
710000,0.5504909,3.16118,0.061337277,0.021788584,0.0002472241,0.18240799,0.0041221594,None,None,None,3.0,3.0,4.0,3.0,1.0
720000,0.53608215,3.1518464,0.05083279,0.025682302,0.00024643683,0.1821456,0.0041090646,999.0,6.739565367203044,6.739565367203044,1.5,2.5,2.5,2.0,1.0
730000,0.5176266,3.1418092,0.054935575,0.02563969,0.00024565443,0.1818848,0.004096052,None,9.555000133812428,9.555000133812428,4.0,5.0,1.0,2.0,1.0
740000,0.51841694,3.1101272,0.04477032,0.021731447,0.0002448672,0.18162243,0.0040829573,None,None,None,5.0,6.0,3.0,2.0,1.0
750000,0.50032413,3.0475533,0.040960226,0.024112944,0.0002440848,0.18136162,0.0040699444,999.0,4.075625080770503,4.075625080770503,0.0,0.0,0.0,0.0,1.0
760000,0.507193,3.0171244,0.040727198,0.023794277,0.00024329768,0.18109925,0.0040568495,None,None,None,3.0,1.5,0.5,2.5,1.0
770000,0.48727122,3.0172398,0.046586923,0.027653683,0.00024249125,0.18083042,0.004043437,999.0,3.7322917759108045,3.7322917759108045,0.0,0.0,0.0,0.0,1.0
780000,0.5002391,3.0118184,0.05314151,0.022727692,0.00024170887,0.18056962,0.004030423,None,None,None,2.0,2.0,6.0,4.0,1.0
790000,0.5172475,2.9883106,0.053880826,0.027193608,0.00024092161,0.18030724,0.00401733,None,None,None,4.0,4.0,10.0,4.0,1.0
800000,0.5316268,2.9692705,0.070804395,0.027396588,0.00024013924,0.18004642,0.0040043155,999.0,5.685208491825809,5.685208491825809,2.5,1.5,0.5,1.0,1.0
810000,0.58371234,2.9291935,0.08814328,0.026025277,0.00023935207,0.17978397,0.003991222,None,None,None,9.0,4.0,1.0,10.0,1.0
820000,0.6383068,2.8825183,0.07325552,0.023791509,0.00023856961,0.17952316,0.0039782077,999.0,8.866250164069546,8.866250164069546,0.0,0.0,0.0,0.0,1.0
830000,0.6729909,2.8401985,0.10213434,0.023561766,0.00023778246,0.17926079,0.0039651147,None,None,None,5.0,4.0,3.0,4.0,1.0
840000,0.75944525,2.823523,0.09010115,0.022985693,0.0002370121,0.17900404,0.0039523,999.0,13.331087124210013,13.331087124210013,3.0,4.0,4.0,4.0,1.0
850000,0.77230716,2.8755882,None,None,None,None,None,None,23.100000262260437,23.100000262260437,5.0,4.0,1.0,2.0,1.0
860000,0.74117786,2.8330412,0.036105547,0.022402735,0.00023621281,0.17873761,0.003939005,None,None,None,6.0,6.0,2.0,2.0,1.0
870000,0.67293185,2.7789576,0.02547502,0.028463181,0.00023540649,0.17846876,0.0039255926,999.0,1.552708432582828,1.552708432582828,0.0,0.0,0.0,0.0,1.0
880000,0.62415296,2.7551076,0.025417324,0.026558217,0.000234624,0.17820796,0.003912578,None,None,None,2.5,2.5,5.5,3.5,1.0
890000,0.5698444,2.7464576,0.021272095,0.026944442,0.00023383688,0.17794561,0.0038994853,999.0,0.9443750806385651,0.9443750806385651,0.0,0.0,0.0,0.0,1.0
900000,0.55447316,2.6754746,0.032096487,0.019195246,0.00023305448,0.17768481,0.003886471,None,None,None,0.0,1.0,2.0,2.0,1.0
910000,0.55984896,2.6509688,0.056297377,0.021438686,0.00023226722,0.17742243,0.0038733776,None,None,None,2.0,2.0,4.0,3.0,1.0
920000,0.55983824,2.6606321,0.059094116,0.026012668,0.00023148485,0.17716163,0.0038603633,999.0,6.34250009781681,6.34250009781681,4.0,1.0,2.0,1.0,1.0
930000,0.5597176,2.571153,0.060360495,0.026845403,0.00023069761,0.17689915,0.0038472703,None,None,None,12.0,3.0,5.0,3.0,1.0
940000,0.5534643,2.559419,0.04416371,0.025728496,0.00022989126,0.17663044,0.0038338576,999.0,4.912291818686451,4.912291818686451,0.0,0.0,0.0,0.0,1.0
950000,0.6080435,2.5001252,0.088916466,0.02683123,0.00022910889,0.17636962,0.0038208433,None,None,None,2.0,4.0,4.0,1.0,1.0
960000,0.67659646,2.4757938,0.07631175,0.021028072,0.00022832165,0.17610724,0.0038077484,999.0,9.457174087793607,9.457174087793607,1.5,4.5,4.0,1.0,1.0
970000,0.7143465,2.5197594,0.10063651,0.020430736,0.00022753928,0.17584643,0.0037947358,None,8.515000198036432,8.515000198036432,6.0,5.0,4.0,2.0,1.0
980000,0.7690492,2.481189,0.09567165,0.026209626,0.00022675203,0.17558397,0.0037816411,None,None,None,8.0,6.0,6.0,2.0,1.0
990000,0.8027302,2.5336497,0.08790663,0.025329132,0.00022596963,0.17532317,0.003768628,999.0,13.88229180756025,13.88229180756025,0.0,1.0,0.0,0.0,1.0
1000000,0.82217836,2.4994335,0.077611156,0.02439972,0.00022518246,0.1750608,0.0037555331,None,None,None,5.0,5.5,5.5,3.5,1.0
1010000,0.8493766,2.4998522,0.09035179,0.018632391,0.00022441201,0.17480405,0.0037427188,999.0,11.286458466085605,11.286458466085605,0.0,0.0,0.0,0.0,1.0
1020000,0.9030243,2.4743807,0.07685137,0.01975409,0.00022361285,0.17453761,0.0037294258,None,None,None,4.0,6.0,2.0,3.0,1.0
1030000,0.90777326,2.4627051,0.072858684,0.026794624,0.00022280641,0.17426878,0.0037160134,None,None,None,4.0,10.0,2.0,8.0,1.0
1040000,0.90541995,2.4115736,0.07981205,0.022176765,0.00022202404,0.17400798,0.0037029989,999.0,7.352708501081604,7.352708501081604,2.0,0.5,1.0,1.0,1.0
1050000,0.8996127,2.378308,None,None,None,None,None,None,None,None,7.0,4.0,5.0,4.0,1.0
1060000,0.8929188,2.3384008,0.08784912,0.023979804,0.0002212368,0.1737456,0.0036899054,999.0,7.876875146253345,7.876875146253345,0.0,0.0,0.0,0.0,1.0
1070000,0.9464296,2.3280797,0.09078656,0.027147537,0.00022045443,0.1734848,0.0036768916,None,None,None,0.0,2.0,3.0,6.0,1.0
1080000,0.99423903,2.3157263,0.098285474,0.027657116,0.00021966727,0.17322241,0.003663798,999.0,10.803913190110546,10.803913190110546,0.5,2.0,2.5,3.5,1.0
1090000,0.9619255,2.3491385,0.10138671,0.019704785,0.00021888487,0.17296162,0.003650784,None,29.230000138282776,29.230000138282776,3.0,4.0,5.0,6.0,1.0
1100000,1.0078738,2.2984786,0.1067402,0.020205325,0.00021809764,0.17269917,0.0036376894,None,None,None,5.0,6.0,6.0,7.0,1.0
1110000,1.0306036,2.2524042,0.103555016,0.021670632,0.0002172912,0.17243043,0.0036242763,999.0,11.392916823737323,11.392916823737323,0.0,1.0,0.0,0.0,1.0
1120000,1.0696754,2.209855,0.10085466,0.02028711,0.00021650882,0.17216963,0.0036112638,None,None,None,4.0,4.0,9.5,0.5,1.0
1130000,1.0118161,2.2110267,0.070393294,0.019493531,0.00021572168,0.17190725,0.003598169,999.0,6.887500106434648,6.887500106434648,0.0,0.0,0.0,0.0,1.0
1140000,0.8856641,2.1954079,0.07096874,0.023873385,0.00021493931,0.17164645,0.003585155,None,None,None,3.0,3.0,5.0,4.0,1.0
1150000,0.84059495,2.1330721,0.06441836,0.026421491,0.00021415205,0.17138399,0.0035720617,None,None,None,5.0,5.0,6.0,6.0,1.0
1160000,0.7258925,2.2048478,0.05502094,0.025479944,0.00021336967,0.17112318,0.0035590471,999.0,3.6022917905744785,3.6022917905744785,1.5,1.0,2.0,2.5,1.0
1170000,0.6861563,2.1275108,0.050636243,0.024898026,0.00021258242,0.1708608,0.0035459544,None,None,None,6.0,4.0,6.0,10.0,1.0
1180000,0.6704853,2.118971,0.051473252,0.025844062,0.00021181206,0.17060405,0.0035331396,999.0,3.4095834508771077,3.4095834508771077,0.0,0.0,0.0,0.0,1.0
1190000,0.7303963,2.0771873,0.115687355,0.0265365,0.00021101288,0.17033762,0.0035198466,None,None,None,6.0,0.0,3.0,3.0,1.0
1200000,0.77541053,2.0733366,0.091239415,0.02277844,0.00021020646,0.17006879,0.0035064323,999.0,10.284782799001297,10.284782799001297,4.0,0.5,2.5,2.0,1.0
1210000,0.7274788,2.137663,0.10849882,0.024932347,0.00020942408,0.16980797,0.0034934196,None,22.860000252723694,22.860000252723694,1.0,5.0,2.0,3.0,1.0
1220000,0.7773207,2.120313,0.11110172,0.025511725,0.00020863683,0.16954562,0.003480325,None,None,None,6.0,6.0,6.0,5.0,1.0
1230000,0.81842244,2.1710584,0.09023083,0.024519872,0.00020785443,0.16928479,0.0034673118,999.0,10.88125012717986,10.88125012717986,0.0,0.0,0.0,0.0,1.0
1240000,0.8666865,2.1875534,0.1023675,0.024622345,0.00020706729,0.16902243,0.0034542172,None,None,None,2.0,7.5,2.5,1.0,1.0
1250000,0.8579007,2.1329215,0.09026245,0.025979761,0.00020628482,0.16876164,0.0034412045,999.0,9.804375153927444,9.804375153927444,0.0,0.0,0.0,0.0,1.0
1260000,0.8810733,2.0815318,None,None,None,None,None,None,None,None,2.0,4.0,1.0,1.0,1.0
1270000,0.8602019,2.0155904,0.061929148,0.024417542,0.00020549766,0.16849916,0.0034281097,None,None,None,2.0,5.0,2.0,6.0,1.0
1280000,0.8092963,2.0409594,0.0468621,0.021972382,0.00020469124,0.16823044,0.0034146972,999.0,2.2329168159437054,2.2329168159437054,1.0,1.0,2.5,3.0,1.0
1290000,0.86561954,2.0264113,0.12159858,0.021551294,0.00020390886,0.16796963,0.0034016825,None,None,None,4.0,5.0,9.0,8.0,1.0
1300000,0.9056843,2.0345063,0.13138653,0.03400776,0.00020312161,0.16770725,0.0033885897,999.0,14.25187516619917,14.25187516619917,0.0,0.0,0.0,0.0,1.0
1310000,0.86803555,2.0159602,0.095423564,0.023480842,0.00020233922,0.16744645,0.0033755752,None,None,None,3.0,3.0,2.0,3.0,1.0
1320000,0.7813749,2.066755,0.037402805,0.023220832,0.00020155209,0.16718397,0.0033624822,999.0,1.452608802801241,1.452608802801241,2.5,1.5,1.0,2.5,1.0
